epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,247.606,1.31855,1.33962,1.14554,0.93683,0.84055,0.89234,0.51567,1.34184,1.03611,1.19565,0.000665912,0.000665912,0.000665912
2,448.553,1.29925,0.8713,1.14584,0.81694,0.83153,0.78055,0.48182,1.30218,0.96067,1.20705,0.0012886,0.0012886,0.0012886
3,641.138,1.30095,0.80246,1.15554,0.83798,0.86469,0.81315,0.50895,1.25775,0.93821,1.18914,0.00186729,0.00186729,0.00186729
4,832.783,1.25321,0.74852,1.13476,0.91786,0.88474,0.88883,0.56984,1.25505,0.74987,1.17625,0.001802,0.001802,0.001802
5,1023.97,1.23276,0.70892,1.12367,0.91652,0.89021,0.89856,0.59518,1.201,0.68436,1.13257,0.001736,0.001736,0.001736
6,1216.19,1.22223,0.68636,1.12197,0.94189,0.90797,0.93427,0.60962,1.22219,0.64197,1.12546,0.00167,0.00167,0.00167
7,1406.9,1.21079,0.66033,1.11017,0.96391,0.90052,0.93855,0.62887,1.18066,0.61217,1.13116,0.001604,0.001604,0.001604
8,1595.43,1.19556,0.65047,1.10786,0.96265,0.90419,0.94318,0.64342,1.1715,0.5866,1.14588,0.001538,0.001538,0.001538
9,1804.65,1.18596,0.63209,1.10403,0.97418,0.90797,0.94495,0.63528,1.17874,0.59671,1.11793,0.001472,0.001472,0.001472
10,2010.53,1.16542,0.60356,1.08651,0.96204,0.91298,0.94485,0.64886,1.15248,0.56574,1.11715,0.001406,0.001406,0.001406
11,2216.86,1.16564,0.60725,1.08888,0.96164,0.91375,0.94768,0.64767,1.15102,0.55757,1.10886,0.00134,0.00134,0.00134
12,2420.35,1.15296,0.59637,1.08537,0.96508,0.92118,0.95225,0.65648,1.14265,0.55507,1.10301,0.001274,0.001274,0.001274
13,2616.43,1.14801,0.57743,1.07632,0.96689,0.91784,0.95016,0.64798,1.15232,0.55842,1.10586,0.001208,0.001208,0.001208
14,2812.87,1.13799,0.58179,1.08048,0.96275,0.91838,0.95231,0.66511,1.13478,0.52882,1.10646,0.001142,0.001142,0.001142
15,3009.76,1.13398,0.5653,1.07289,0.96063,0.91159,0.94982,0.64886,1.15181,0.55598,1.09257,0.001076,0.001076,0.001076
16,3199.65,1.12431,0.55502,1.06457,0.97347,0.92301,0.95603,0.66778,1.11986,0.52229,1.09533,0.00101,0.00101,0.00101
17,3388.2,1.1121,0.54936,1.06903,0.97636,0.92202,0.95682,0.66974,1.11342,0.50065,1.1019,0.000944,0.000944,0.000944
18,3577.64,1.10796,0.54355,1.06342,0.96332,0.92131,0.95627,0.65304,1.14713,0.51748,1.09817,0.000878,0.000878,0.000878
19,3766.97,1.10774,0.53792,1.06264,0.97905,0.91435,0.95572,0.66634,1.1141,0.49713,1.09738,0.000812,0.000812,0.000812
20,3957.26,1.0876,0.52314,1.04945,0.97845,0.92437,0.95962,0.67442,1.11239,0.49803,1.07668,0.000746,0.000746,0.000746
21,4141.54,1.08636,0.49224,1.05303,0.97211,0.92097,0.95885,0.66672,1.11091,0.50089,1.09004,0.00068,0.00068,0.00068
22,4325.42,1.07206,0.48162,1.04897,0.98012,0.92094,0.95688,0.67078,1.11003,0.49371,1.07883,0.000614,0.000614,0.000614
23,4510.39,1.07729,0.47588,1.04862,0.97461,0.93212,0.96086,0.67731,1.10945,0.4806,1.08502,0.000548,0.000548,0.000548
24,4695.23,1.05874,0.46474,1.04368,0.97774,0.92893,0.96259,0.68066,1.09667,0.47306,1.07228,0.000482,0.000482,0.000482
25,4879.63,1.05443,0.4566,1.03831,0.98014,0.92197,0.96142,0.68165,1.09014,0.46753,1.07492,0.000416,0.000416,0.000416
26,5064.76,1.04656,0.44716,1.03643,0.97931,0.92729,0.96309,0.68371,1.08406,0.46201,1.07001,0.00035,0.00035,0.00035
27,5248.97,1.03853,0.44116,1.02984,0.97515,0.93257,0.96126,0.68446,1.07598,0.45541,1.06637,0.000284,0.000284,0.000284
28,5433.57,1.02724,0.43425,1.02584,0.97651,0.93212,0.96159,0.6911,1.07242,0.45054,1.06166,0.000218,0.000218,0.000218
29,5618.4,1.0136,0.42285,1.01891,0.97847,0.93121,0.96176,0.69571,1.06797,0.44142,1.05587,0.000152,0.000152,0.000152
30,5802.33,1.01075,0.42028,1.01844,0.98376,0.9262,0.96339,0.69436,1.06423,0.43724,1.05695,8.6e-05,8.6e-05,8.6e-05
1,371.499,1.29759,1.52303,1.16607,0.91186,0.83892,0.88977,0.52635,1.38905,1.03416,1.23896,0.000665912,0.000665912,0.000665912
2,707.737,1.29749,0.89079,1.17803,0.91656,0.86578,0.91269,0.57273,1.29029,0.81467,1.18103,0.0012886,0.0012886,0.0012886
3,1035.34,1.29899,0.82095,1.18597,0.94795,0.87112,0.92792,0.60838,1.27311,0.74822,1.19375,0.00186729,0.00186729,0.00186729
4,1365.54,1.25335,0.75694,1.15507,0.91504,0.82506,0.88771,0.56811,1.28148,0.86063,1.21193,0.001802,0.001802,0.001802
5,1693.6,1.22856,0.71818,1.14657,0.93903,0.89567,0.93002,0.6126,1.19411,0.68083,1.13253,0.001736,0.001736,0.001736
6,2020.36,1.2137,0.68467,1.13358,0.95747,0.90342,0.94845,0.62461,1.21118,0.63982,1.1468,0.00167,0.00167,0.00167
7,2346.32,1.19651,0.66128,1.11944,0.96766,0.90752,0.95054,0.64233,1.15756,0.59341,1.11011,0.001604,0.001604,0.001604
8,2681.42,1.1881,0.64881,1.11163,0.95367,0.90843,0.94924,0.64083,1.18092,0.60286,1.12394,0.001538,0.001538,0.001538
9,3016.79,1.18112,0.63049,1.11656,0.97657,0.9115,0.95768,0.65221,1.15397,0.55383,1.1093,0.001472,0.001472,0.001472
10,3353.59,1.16324,0.59823,1.09931,0.96241,0.90978,0.95438,0.65817,1.14755,0.53542,1.09812,0.001406,0.001406,0.001406
11,3687.84,1.1646,0.60091,1.10136,0.9834,0.91758,0.95804,0.65743,1.15803,0.53815,1.10103,0.00134,0.00134,0.00134
12,4023.67,1.14957,0.59288,1.09216,0.96734,0.92847,0.95922,0.66508,1.13087,0.51849,1.08554,0.001274,0.001274,0.001274
13,4360.6,1.14036,0.57585,1.09009,0.97329,0.92574,0.96262,0.66326,1.13975,0.51473,1.08516,0.001208,0.001208,0.001208
14,4695.16,1.13595,0.56927,1.08701,0.97603,0.92746,0.96315,0.67643,1.12864,0.50825,1.08209,0.001142,0.001142,0.001142
15,5022.72,1.13062,0.55332,1.08166,0.98058,0.92756,0.96023,0.66141,1.15539,0.50341,1.0859,0.001076,0.001076,0.001076
16,5347.05,1.11843,0.55145,1.07355,0.98481,0.93303,0.96847,0.67804,1.11816,0.48127,1.07489,0.00101,0.00101,0.00101
17,5672.94,1.11026,0.53942,1.07246,0.98346,0.92984,0.96393,0.67119,1.11537,0.48335,1.07233,0.000944,0.000944,0.000944
18,5999.32,1.10705,0.52974,1.06422,0.97894,0.92301,0.96506,0.67653,1.13038,0.48776,1.07977,0.000878,0.000878,0.000878
19,6324.63,1.10738,0.52651,1.06946,0.98505,0.93053,0.96669,0.68409,1.10378,0.46145,1.06632,0.000812,0.000812,0.000812
20,6651.41,1.07968,0.51197,1.05642,0.98469,0.9385,0.96916,0.68711,1.10072,0.46538,1.06208,0.000746,0.000746,0.000746
21,6970.3,1.08271,0.47266,1.07092,0.97624,0.92938,0.96292,0.6791,1.10214,0.47317,1.06685,0.00068,0.00068,0.00068
22,7295.42,1.07529,0.46082,1.06405,0.9837,0.93509,0.96664,0.68751,1.10198,0.46034,1.06121,0.000614,0.000614,0.000614
23,7628.76,1.06931,0.45717,1.06421,0.9818,0.93407,0.96824,0.68003,1.115,0.45857,1.06925,0.000548,0.000548,0.000548
24,7959.49,1.06007,0.44715,1.05889,0.98801,0.9386,0.96934,0.69016,1.08352,0.44762,1.05601,0.000482,0.000482,0.000482
25,8283.19,1.05223,0.44099,1.05573,0.98191,0.93956,0.96705,0.69192,1.08269,0.45599,1.05258,0.000416,0.000416,0.000416
26,8608.84,1.04765,0.43016,1.049,0.98197,0.94214,0.96802,0.69676,1.08091,0.43778,1.05026,0.00035,0.00035,0.00035
27,8945.71,1.03762,0.42383,1.04491,0.98846,0.93673,0.97021,0.69813,1.07874,0.43152,1.04796,0.000284,0.000284,0.000284
28,9275.09,1.03066,0.41589,1.04534,0.98618,0.94265,0.9696,0.69949,1.07071,0.42958,1.04589,0.000218,0.000218,0.000218
29,9606.84,1.01999,0.40711,1.03868,0.98624,0.94396,0.97148,0.70492,1.07091,0.42266,1.04407,0.000152,0.000152,0.000152
30,9932.23,1.01602,0.40408,1.03522,0.98619,0.9438,0.97246,0.70711,1.05877,0.41508,1.04091,8.6e-05,8.6e-05,8.6e-05
